| T     17 | Fr      1280 | Ep      0 | Up      1 | RMe    0.00 | RSd    0.00 | RMa    0.00 | RMi    0.00 | Pl   -0.026 | Vl    0.020 | El 0.0301 | Gr    0.486 | Fps    75 |
| T  30829 | Fr   9984000 | Ep  41600 | Up   7800 | RMe    1.52 | RSd    1.12 | RMa    4.00 | RMi    0.00 | Pl   -0.005 | Vl    0.021 | El 0.0303 | Gr    0.123 | Fps   323 |
| T  31243 | Fr  10112000 | Ep  42128 | Up   7900 | RMe    1.45 | RSd    1.15 | RMa    5.00 | RMi    0.00 | Pl    0.212 | Vl    0.043 | El 0.0305 | Gr    0.128 | Fps   323 |
| T  31669 | Fr  10240000 | Ep  42664 | Up   8000 | RMe    1.47 | RSd    1.01 | RMa    5.00 | RMi    0.00 | Pl    0.360 | Vl    0.051 | El 0.0304 | Gr    0.186 | Fps   323 |
| T  32060 | Fr  10368000 | Ep  43200 | Up   8100 | RMe    1.61 | RSd    0.98 | RMa    4.00 | RMi    0.00 | Pl   -0.272 | Vl    0.044 | El 0.0306 | Gr    0.145 | Fps   323 |
| T  32479 | Fr  10496000 | Ep  43728 | Up   8200 | RMe    1.81 | RSd    1.23 | RMa    5.00 | RMi    0.00 | Pl   -0.073 | Vl    0.044 | El 0.0303 | Gr    0.119 | Fps   323 |
| T  32882 | Fr  10624000 | Ep  44264 | Up   8300 | RMe    1.63 | RSd    1.06 | RMa    5.00 | RMi    0.00 | Pl    0.155 | Vl    0.047 | El 0.0304 | Gr    0.225 | Fps   323 |
| T  33280 | Fr  10752000 | Ep  44800 | Up   8400 | RMe    1.62 | RSd    1.25 | RMa    5.00 | RMi    0.00 | Pl    0.853 | Vl    0.052 | El 0.0305 | Gr    0.305 | Fps   323 |
| T  33660 | Fr  10880000 | Ep  45328 | Up   8500 | RMe    1.65 | RSd    1.22 | RMa    6.00 | RMi    0.00 | Pl   -0.149 | Vl    0.019 | El 0.0305 | Gr    0.110 | Fps   323 |
| T  34063 | Fr  11008000 | Ep  45864 | Up   8600 | RMe    1.60 | RSd    1.21 | RMa    4.00 | RMi    0.00 | Pl   -0.200 | Vl    0.033 | El 0.0305 | Gr    0.129 | Fps   323 |
| T  34478 | Fr  11136000 | Ep  46400 | Up   8700 | RMe    1.65 | RSd    1.12 | RMa    5.00 | RMi    0.00 | Pl   -0.354 | Vl    0.037 | El 0.0305 | Gr    0.126 | Fps   322 |
| T  34884 | Fr  11264000 | Ep  46928 | Up   8800 | RMe    1.68 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl   -0.110 | Vl    0.037 | El 0.0304 | Gr    0.108 | Fps   322 |
| T  35279 | Fr  11392000 | Ep  47464 | Up   8900 | RMe    1.70 | RSd    1.09 | RMa    4.00 | RMi    0.00 | Pl   -0.024 | Vl    0.061 | El 0.0303 | Gr    0.261 | Fps   322 |
| T  35700 | Fr  11520000 | Ep  48000 | Up   9000 | RMe    1.50 | RSd    0.97 | RMa    3.00 | RMi    0.00 | Pl    0.366 | Vl    0.041 | El 0.0305 | Gr    0.159 | Fps   322 |
| T  36097 | Fr  11648000 | Ep  48528 | Up   9100 | RMe    1.93 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl   -0.025 | Vl    0.055 | El 0.0302 | Gr    0.175 | Fps   322 |
| T  36505 | Fr  11776000 | Ep  49064 | Up   9200 | RMe    1.67 | RSd    1.24 | RMa    5.00 | RMi    0.00 | Pl   -0.359 | Vl    0.036 | El 0.0304 | Gr    0.178 | Fps   322 |
| T  36898 | Fr  11904000 | Ep  49600 | Up   9300 | RMe    1.48 | RSd    1.07 | RMa    4.00 | RMi    0.00 | Pl    0.280 | Vl    0.065 | El 0.0303 | Gr    0.248 | Fps   322 |
| T  37303 | Fr  12032000 | Ep  50128 | Up   9400 | RMe    1.77 | RSd    1.25 | RMa    5.00 | RMi    0.00 | Pl    0.735 | Vl    0.072 | El 0.0303 | Gr    0.309 | Fps   322 |
| T  37701 | Fr  12160000 | Ep  50664 | Up   9500 | RMe    1.68 | RSd    1.13 | RMa    5.00 | RMi    0.00 | Pl    0.053 | Vl    0.048 | El 0.0303 | Gr    0.249 | Fps   322 |
| T  38104 | Fr  12288000 | Ep  51200 | Up   9600 | RMe    1.43 | RSd    1.03 | RMa    5.00 | RMi    0.00 | Pl    0.624 | Vl    0.055 | El 0.0305 | Gr    0.214 | Fps   322 |
| T  38498 | Fr  12416000 | Ep  51728 | Up   9700 | RMe    1.62 | RSd    1.08 | RMa    5.00 | RMi    0.00 | Pl    0.175 | Vl    0.072 | El 0.0303 | Gr    0.191 | Fps   322 |
| T  38918 | Fr  12544000 | Ep  52264 | Up   9800 | RMe    1.71 | RSd    1.23 | RMa    6.00 | RMi    0.00 | Pl   -0.032 | Vl    0.043 | El 0.0304 | Gr    0.155 | Fps   322 |
| T  39315 | Fr  12672000 | Ep  52800 | Up   9900 | RMe    1.72 | RSd    1.24 | RMa    6.00 | RMi    0.00 | Pl    0.183 | Vl    0.046 | El 0.0303 | Gr    0.173 | Fps   322 |
| T  39726 | Fr  12800000 | Ep  53328 | Up  10000 | RMe    1.72 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl    0.332 | Vl    0.045 | El 0.0304 | Gr    0.159 | Fps   322 |
| T  40135 | Fr  12928000 | Ep  53864 | Up  10100 | RMe    1.82 | RSd    1.13 | RMa    5.00 | RMi    0.00 | Pl    0.333 | Vl    0.050 | El 0.0303 | Gr    0.170 | Fps   322 |
| T  40544 | Fr  13056000 | Ep  54400 | Up  10200 | RMe    1.96 | RSd    1.20 | RMa    6.00 | RMi    0.00 | Pl   -0.390 | Vl    0.052 | El 0.0303 | Gr    0.217 | Fps   322 |
| T  40938 | Fr  13184000 | Ep  54928 | Up  10300 | RMe    1.74 | RSd    1.03 | RMa    4.00 | RMi    0.00 | Pl    0.314 | Vl    0.063 | El 0.0303 | Gr    0.200 | Fps   322 |
| T  41336 | Fr  13312000 | Ep  55464 | Up  10400 | RMe    1.75 | RSd    1.13 | RMa    4.00 | RMi    0.00 | Pl   -0.173 | Vl    0.038 | El 0.0303 | Gr    0.123 | Fps   322 |
| T  41746 | Fr  13440000 | Ep  56000 | Up  10500 | RMe    1.54 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl   -0.152 | Vl    0.030 | El 0.0307 | Gr    0.134 | Fps   321 |
| T  42132 | Fr  13568000 | Ep  56528 | Up  10600 | RMe    1.80 | RSd    1.18 | RMa    5.00 | RMi    0.00 | Pl    0.328 | Vl    0.041 | El 0.0305 | Gr    0.212 | Fps   322 |
| T  42525 | Fr  13696000 | Ep  57064 | Up  10700 | RMe    1.76 | RSd    1.03 | RMa    4.00 | RMi    0.00 | Pl   -0.227 | Vl    0.037 | El 0.0305 | Gr    0.111 | Fps   322 |
| T  42925 | Fr  13824000 | Ep  57600 | Up  10800 | RMe    1.73 | RSd    1.08 | RMa    5.00 | RMi    0.00 | Pl    0.077 | Vl    0.042 | El 0.0304 | Gr    0.103 | Fps   322 |
| T  43330 | Fr  13952000 | Ep  58128 | Up  10900 | RMe    1.98 | RSd    1.21 | RMa    6.00 | RMi    0.00 | Pl    0.010 | Vl    0.037 | El 0.0304 | Gr    0.142 | Fps   321 |
| T  43751 | Fr  14080000 | Ep  58664 | Up  11000 | RMe    1.64 | RSd    0.94 | RMa    4.00 | RMi    0.00 | Pl   -0.441 | Vl    0.038 | El 0.0305 | Gr    0.175 | Fps   321 |
| T  44138 | Fr  14208000 | Ep  59200 | Up  11100 | RMe    1.76 | RSd    1.33 | RMa    6.00 | RMi    0.00 | Pl   -0.248 | Vl    0.030 | El 0.0306 | Gr    0.095 | Fps   321 |
| T  44530 | Fr  14336000 | Ep  59728 | Up  11200 | RMe    1.80 | RSd    1.01 | RMa    5.00 | RMi    0.00 | Pl    0.279 | Vl    0.052 | El 0.0304 | Gr    0.199 | Fps   321 |
| T  44924 | Fr  14464000 | Ep  60264 | Up  11300 | RMe    1.74 | RSd    1.00 | RMa    4.00 | RMi    0.00 | Pl   -0.394 | Vl    0.038 | El 0.0304 | Gr    0.190 | Fps   321 |
| T  45320 | Fr  14592000 | Ep  60800 | Up  11400 | RMe    1.89 | RSd    1.09 | RMa    5.00 | RMi    0.00 | Pl   -0.517 | Vl    0.039 | El 0.0305 | Gr    0.215 | Fps   321 |
| T  45726 | Fr  14720000 | Ep  61328 | Up  11500 | RMe    1.72 | RSd    0.95 | RMa    4.00 | RMi    0.00 | Pl   -0.359 | Vl    0.038 | El 0.0304 | Gr    0.201 | Fps   321 |
| T  46120 | Fr  14848000 | Ep  61864 | Up  11600 | RMe    1.65 | RSd    1.15 | RMa    5.00 | RMi    0.00 | Pl   -0.253 | Vl    0.035 | El 0.0305 | Gr    0.118 | Fps   321 |
| T  46509 | Fr  14976000 | Ep  62400 | Up  11700 | RMe    1.72 | RSd    1.16 | RMa    6.00 | RMi    0.00 | Pl   -0.632 | Vl    0.029 | El 0.0305 | Gr    0.238 | Fps   322 |
| T  46909 | Fr  15104000 | Ep  62928 | Up  11800 | RMe    1.92 | RSd    1.11 | RMa    6.00 | RMi    0.00 | Pl    1.029 | Vl    0.066 | El 0.0303 | Gr    0.398 | Fps   321 |
| T  47285 | Fr  15232000 | Ep  63464 | Up  11900 | RMe    1.75 | RSd    0.97 | RMa    4.00 | RMi    0.00 | Pl   -0.696 | Vl    0.028 | El 0.0304 | Gr    0.248 | Fps   322 |
| T  47682 | Fr  15360000 | Ep  64000 | Up  12000 | RMe    1.96 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl   -0.263 | Vl    0.035 | El 0.0304 | Gr    0.163 | Fps   322 |
| T  48065 | Fr  15488000 | Ep  64528 | Up  12100 | RMe    1.71 | RSd    1.10 | RMa    4.00 | RMi    0.00 | Pl   -0.289 | Vl    0.033 | El 0.0305 | Gr    0.164 | Fps   322 |
| T  48459 | Fr  15616000 | Ep  65064 | Up  12200 | RMe    1.54 | RSd    1.08 | RMa    4.00 | RMi    0.00 | Pl    0.760 | Vl    0.093 | El 0.0303 | Gr    0.322 | Fps   322 |
| T  48866 | Fr  15744000 | Ep  65600 | Up  12300 | RMe    1.70 | RSd    1.14 | RMa    6.00 | RMi    0.00 | Pl   -0.048 | Vl    0.026 | El 0.0304 | Gr    0.080 | Fps   322 |
