| T     17 | Fr      1280 | Ep      0 | Up      1 | RMe    0.00 | RSd    0.00 | RMa    0.00 | RMi    0.00 | Pl   -0.026 | Vl    0.020 | El 0.0301 | Gr    0.486 | Fps    75 |
| T 100628 | Fr  11648000 | Ep 132800 | Up   9100 | RMe    1.77 | RSd    1.16 | RMa    5.00 | RMi    0.00 | Pl   -0.127 | Vl    0.039 | El 0.0304 | Gr    0.109 | Fps   115 |
| T 101038 | Fr  11776000 | Ep 133328 | Up   9200 | RMe    1.56 | RSd    0.97 | RMa    4.00 | RMi    0.00 | Pl   -0.013 | Vl    0.034 | El 0.0305 | Gr    0.104 | Fps   116 |
| T 101467 | Fr  11904000 | Ep 133864 | Up   9300 | RMe    1.81 | RSd    1.06 | RMa    5.00 | RMi    0.00 | Pl   -0.337 | Vl    0.057 | El 0.0303 | Gr    0.284 | Fps   117 |
| T 101887 | Fr  12032000 | Ep 134400 | Up   9400 | RMe    1.64 | RSd    1.27 | RMa    6.00 | RMi    0.00 | Pl   -0.753 | Vl    0.044 | El 0.0305 | Gr    0.483 | Fps   118 |
| T 102288 | Fr  12160000 | Ep 134928 | Up   9500 | RMe    2.21 | RSd    1.34 | RMa    6.00 | RMi    0.00 | Pl   -0.088 | Vl    0.068 | El 0.0303 | Gr    0.361 | Fps   118 |
| T 102712 | Fr  12288000 | Ep 135464 | Up   9600 | RMe    1.98 | RSd    1.36 | RMa    5.00 | RMi    0.00 | Pl   -0.470 | Vl    0.050 | El 0.0303 | Gr    0.296 | Fps   119 |
| T 103122 | Fr  12416000 | Ep 136000 | Up   9700 | RMe    1.95 | RSd    1.26 | RMa    5.00 | RMi    0.00 | Pl    0.165 | Vl    0.038 | El 0.0304 | Gr    0.145 | Fps   120 |
| T 103539 | Fr  12544000 | Ep 136528 | Up   9800 | RMe    1.90 | RSd    1.13 | RMa    6.00 | RMi    0.00 | Pl   -0.531 | Vl    0.020 | El 0.0304 | Gr    0.315 | Fps   121 |
| T 103959 | Fr  12672000 | Ep 137064 | Up   9900 | RMe    1.72 | RSd    1.13 | RMa    5.00 | RMi    0.00 | Pl    0.110 | Vl    0.066 | El 0.0304 | Gr    0.170 | Fps   121 |
| T 104382 | Fr  12800000 | Ep 137600 | Up  10000 | RMe    1.80 | RSd    1.15 | RMa    5.00 | RMi    0.00 | Pl    0.274 | Vl    0.064 | El 0.0303 | Gr    0.185 | Fps   122 |
| T 104798 | Fr  12928000 | Ep 138128 | Up  10100 | RMe    1.90 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl    0.076 | Vl    0.071 | El 0.0301 | Gr    0.223 | Fps   123 |
| T 105229 | Fr  13056000 | Ep 138664 | Up  10200 | RMe    1.96 | RSd    1.25 | RMa    6.00 | RMi    0.00 | Pl    0.438 | Vl    0.042 | El 0.0303 | Gr    0.274 | Fps   124 |
| T 105635 | Fr  13184000 | Ep 139200 | Up  10300 | RMe    1.92 | RSd    1.06 | RMa    5.00 | RMi    0.00 | Pl    0.339 | Vl    0.063 | El 0.0302 | Gr    0.191 | Fps   124 |
| T 106045 | Fr  13312000 | Ep 139728 | Up  10400 | RMe    1.89 | RSd    1.16 | RMa    5.00 | RMi    0.00 | Pl    0.299 | Vl    0.046 | El 0.0303 | Gr    0.205 | Fps   125 |
| T 106455 | Fr  13440000 | Ep 140264 | Up  10500 | RMe    1.92 | RSd    1.20 | RMa    5.00 | RMi    0.00 | Pl    0.304 | Vl    0.075 | El 0.0302 | Gr    0.287 | Fps   126 |
| T 106877 | Fr  13568000 | Ep 140800 | Up  10600 | RMe    2.06 | RSd    1.27 | RMa    6.00 | RMi    0.00 | Pl   -0.136 | Vl    0.041 | El 0.0303 | Gr    0.143 | Fps   126 |
| T 107304 | Fr  13696000 | Ep 141328 | Up  10700 | RMe    1.88 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl    0.175 | Vl    0.045 | El 0.0300 | Gr    0.310 | Fps   127 |
| T 107731 | Fr  13824000 | Ep 141864 | Up  10800 | RMe    2.01 | RSd    1.11 | RMa    6.00 | RMi    0.00 | Pl   -0.862 | Vl    0.057 | El 0.0301 | Gr    0.537 | Fps   128 |
| T 108161 | Fr  13952000 | Ep 142400 | Up  10900 | RMe    2.06 | RSd    1.36 | RMa    6.00 | RMi    0.00 | Pl   -0.246 | Vl    0.039 | El 0.0300 | Gr    0.299 | Fps   128 |
| T 108573 | Fr  14080000 | Ep 142928 | Up  11000 | RMe    2.00 | RSd    1.28 | RMa    6.00 | RMi    0.00 | Pl    0.118 | Vl    0.037 | El 0.0303 | Gr    0.139 | Fps   129 |
| T 108989 | Fr  14208000 | Ep 143464 | Up  11100 | RMe    1.96 | RSd    1.21 | RMa    5.00 | RMi    0.00 | Pl    0.622 | Vl    0.073 | El 0.0303 | Gr    0.324 | Fps   130 |
| T 109412 | Fr  14336000 | Ep 144000 | Up  11200 | RMe    2.04 | RSd    1.17 | RMa    5.00 | RMi    0.00 | Pl    0.002 | Vl    0.056 | El 0.0302 | Gr    0.190 | Fps   131 |
| T 109841 | Fr  14464000 | Ep 144528 | Up  11300 | RMe    2.31 | RSd    1.36 | RMa    6.00 | RMi    0.00 | Pl   -0.335 | Vl    0.044 | El 0.0303 | Gr    0.286 | Fps   131 |
| T 110277 | Fr  14592000 | Ep 145064 | Up  11400 | RMe    2.07 | RSd    1.33 | RMa    7.00 | RMi    0.00 | Pl   -0.140 | Vl    0.038 | El 0.0305 | Gr    0.205 | Fps   132 |
| T 110697 | Fr  14720000 | Ep 145600 | Up  11500 | RMe    2.12 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl    0.620 | Vl    0.091 | El 0.0302 | Gr    0.227 | Fps   132 |
| T 111116 | Fr  14848000 | Ep 146128 | Up  11600 | RMe    1.92 | RSd    1.32 | RMa    5.00 | RMi    0.00 | Pl    0.790 | Vl    0.102 | El 0.0303 | Gr    0.600 | Fps   133 |
| T 111557 | Fr  14976000 | Ep 146664 | Up  11700 | RMe    1.89 | RSd    1.24 | RMa    5.00 | RMi    0.00 | Pl   -0.575 | Vl    0.079 | El 0.0302 | Gr    0.301 | Fps   134 |
| T 111980 | Fr  15104000 | Ep 147200 | Up  11800 | RMe    2.09 | RSd    1.17 | RMa    5.00 | RMi    0.00 | Pl   -0.080 | Vl    0.093 | El 0.0303 | Gr    0.232 | Fps   134 |
| T 112402 | Fr  15232000 | Ep 147728 | Up  11900 | RMe    2.00 | RSd    1.02 | RMa    5.00 | RMi    0.00 | Pl   -0.160 | Vl    0.051 | El 0.0304 | Gr    0.146 | Fps   135 |
| T 112814 | Fr  15360000 | Ep 148264 | Up  12000 | RMe    2.05 | RSd    1.15 | RMa    4.00 | RMi    0.00 | Pl   -0.644 | Vl    0.031 | El 0.0304 | Gr    0.270 | Fps   136 |
| T 113247 | Fr  15488000 | Ep 148800 | Up  12100 | RMe    2.18 | RSd    1.30 | RMa    5.00 | RMi    0.00 | Pl    0.618 | Vl    0.090 | El 0.0304 | Gr    0.331 | Fps   136 |
| T 113658 | Fr  15616000 | Ep 149328 | Up  12200 | RMe    2.21 | RSd    1.31 | RMa    7.00 | RMi    0.00 | Pl   -0.217 | Vl    0.052 | El 0.0303 | Gr    0.206 | Fps   137 |
| T 114089 | Fr  15744000 | Ep 149864 | Up  12300 | RMe    2.36 | RSd    1.43 | RMa    8.00 | RMi    0.00 | Pl    0.048 | Vl    0.063 | El 0.0301 | Gr    0.143 | Fps   137 |
| T 114543 | Fr  15872000 | Ep 150400 | Up  12400 | RMe    2.05 | RSd    1.31 | RMa    5.00 | RMi    0.00 | Pl    0.413 | Vl    0.062 | El 0.0303 | Gr    0.270 | Fps   138 |
| T 114975 | Fr  16000000 | Ep 150928 | Up  12500 | RMe    2.19 | RSd    1.29 | RMa    5.00 | RMi    0.00 | Pl   -0.096 | Vl    0.038 | El 0.0302 | Gr    0.146 | Fps   139 |
| T 115391 | Fr  16128000 | Ep 151464 | Up  12600 | RMe    1.93 | RSd    1.21 | RMa    6.00 | RMi    0.00 | Pl    0.297 | Vl    0.060 | El 0.0303 | Gr    0.287 | Fps   139 |
| T 115818 | Fr  16256000 | Ep 152000 | Up  12700 | RMe    2.16 | RSd    1.45 | RMa    7.00 | RMi    0.00 | Pl   -0.174 | Vl    0.042 | El 0.0304 | Gr    0.170 | Fps   140 |
| T 116222 | Fr  16128000 | Ep 152528 | Up  12600 | RMe    2.43 | RSd    1.39 | RMa    5.00 | RMi    0.00 | Pl    0.298 | Vl    0.056 | El 0.0300 | Gr    0.277 | Fps   138 |
| T 116625 | Fr  16256000 | Ep 153064 | Up  12700 | RMe    2.38 | RSd    1.38 | RMa    6.00 | RMi    0.00 | Pl    0.515 | Vl    0.081 | El 0.0301 | Gr    0.560 | Fps   139 |
| T 117024 | Fr  16384000 | Ep 153600 | Up  12800 | RMe    2.15 | RSd    1.32 | RMa    6.00 | RMi    0.00 | Pl    0.048 | Vl    0.046 | El 0.0302 | Gr    0.207 | Fps   140 |
| T 117412 | Fr  16512000 | Ep 154128 | Up  12900 | RMe    2.28 | RSd    1.30 | RMa    6.00 | RMi    0.00 | Pl    0.349 | Vl    0.051 | El 0.0301 | Gr    0.206 | Fps   140 |
| T 117806 | Fr  16640000 | Ep 154664 | Up  13000 | RMe    2.35 | RSd    1.46 | RMa    6.00 | RMi    0.00 | Pl   -0.026 | Vl    0.044 | El 0.0302 | Gr    0.157 | Fps   141 |
| T 118208 | Fr  16768000 | Ep 155200 | Up  13100 | RMe    2.23 | RSd    1.35 | RMa    7.00 | RMi    0.00 | Pl    0.186 | Vl    0.059 | El 0.0302 | Gr    0.150 | Fps   141 |
| T 118595 | Fr  16896000 | Ep 155728 | Up  13200 | RMe    2.31 | RSd    1.35 | RMa    5.00 | RMi    0.00 | Pl    0.189 | Vl    0.054 | El 0.0298 | Gr    0.335 | Fps   142 |
| T 119009 | Fr  17024000 | Ep 156264 | Up  13300 | RMe    2.46 | RSd    1.38 | RMa    5.00 | RMi    0.00 | Pl   -0.462 | Vl    0.053 | El 0.0301 | Gr    0.400 | Fps   143 |
| T 119404 | Fr  17152000 | Ep 156800 | Up  13400 | RMe    2.54 | RSd    1.46 | RMa    7.00 | RMi    0.00 | Pl   -0.298 | Vl    0.044 | El 0.0303 | Gr    0.205 | Fps   143 |
| T 119792 | Fr  17280000 | Ep 157328 | Up  13500 | RMe    2.47 | RSd    1.37 | RMa    6.00 | RMi    0.00 | Pl   -0.102 | Vl    0.034 | El 0.0304 | Gr    0.193 | Fps   144 |
| T 120198 | Fr  17408000 | Ep 157864 | Up  13600 | RMe    2.42 | RSd    1.27 | RMa    7.00 | RMi    0.00 | Pl    0.616 | Vl    0.168 | El 0.0300 | Gr    0.649 | Fps   144 |
| T 120587 | Fr  17536000 | Ep 158400 | Up  13700 | RMe    2.27 | RSd    1.44 | RMa    6.00 | RMi    0.00 | Pl   -0.266 | Vl    0.048 | El 0.0300 | Gr    0.212 | Fps   145 |
| T 120980 | Fr  17664000 | Ep 158928 | Up  13800 | RMe    2.28 | RSd    1.44 | RMa    7.00 | RMi    0.00 | Pl    0.505 | Vl    0.067 | El 0.0299 | Gr    0.454 | Fps   146 |
| T 121366 | Fr  17792000 | Ep 159464 | Up  13900 | RMe    2.69 | RSd    1.49 | RMa    6.00 | RMi    0.00 | Pl   -0.403 | Vl    0.064 | El 0.0301 | Gr    0.489 | Fps   146 |
| T 121778 | Fr  17920000 | Ep 160000 | Up  14000 | RMe    2.30 | RSd    1.24 | RMa    5.00 | RMi    0.00 | Pl   -0.550 | Vl    0.035 | El 0.0303 | Gr    0.254 | Fps   147 |
| T 122167 | Fr  18048000 | Ep 160528 | Up  14100 | RMe    2.36 | RSd    1.57 | RMa    7.00 | RMi    0.00 | Pl   -0.405 | Vl    0.046 | El 0.0299 | Gr    0.523 | Fps   147 |
| T 122571 | Fr  18176000 | Ep 161064 | Up  14200 | RMe    2.35 | RSd    1.12 | RMa    6.00 | RMi    0.00 | Pl    0.570 | Vl    0.071 | El 0.0299 | Gr    0.542 | Fps   148 |
| T 122965 | Fr  18304000 | Ep 161600 | Up  14300 | RMe    2.65 | RSd    1.47 | RMa    8.00 | RMi    0.00 | Pl    0.559 | Vl    0.066 | El 0.0299 | Gr    0.305 | Fps   148 |
| T 123369 | Fr  18432000 | Ep 162128 | Up  14400 | RMe    2.27 | RSd    1.35 | RMa    6.00 | RMi    0.00 | Pl    1.013 | Vl    0.084 | El 0.0292 | Gr    1.410 | Fps   149 |
| T 123769 | Fr  18560000 | Ep 162664 | Up  14500 | RMe    2.34 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl   -0.747 | Vl    0.026 | El 0.0302 | Gr    0.509 | Fps   149 |
| T 124166 | Fr  18688000 | Ep 163200 | Up  14600 | RMe    2.72 | RSd    1.44 | RMa    6.00 | RMi    0.00 | Pl    0.152 | Vl    0.067 | El 0.0298 | Gr    0.293 | Fps   150 |
| T 124548 | Fr  18816000 | Ep 163728 | Up  14700 | RMe    2.68 | RSd    1.68 | RMa    7.00 | RMi    0.00 | Pl    0.096 | Vl    0.090 | El 0.0298 | Gr    0.354 | Fps   151 |
| T 124950 | Fr  18944000 | Ep 164264 | Up  14800 | RMe    2.60 | RSd    1.59 | RMa    7.00 | RMi    0.00 | Pl   -1.056 | Vl    0.055 | El 0.0300 | Gr    0.618 | Fps   151 |
| T 125363 | Fr  19072000 | Ep 164800 | Up  14900 | RMe    2.27 | RSd    1.21 | RMa    6.00 | RMi    0.00 | Pl   -0.372 | Vl    0.023 | El 0.0303 | Gr    0.252 | Fps   152 |
| T 125767 | Fr  19200000 | Ep 165328 | Up  15000 | RMe    2.42 | RSd    1.33 | RMa    6.00 | RMi    1.00 | Pl    0.847 | Vl    0.058 | El 0.0300 | Gr    0.639 | Fps   152 |
| T 126160 | Fr  19328000 | Ep 165864 | Up  15100 | RMe    2.51 | RSd    1.40 | RMa    6.00 | RMi    0.00 | Pl   -0.809 | Vl    0.044 | El 0.0302 | Gr    0.698 | Fps   153 |
| T 126564 | Fr  19456000 | Ep 166400 | Up  15200 | RMe    2.67 | RSd    1.25 | RMa    5.00 | RMi    0.00 | Pl   -0.224 | Vl    0.057 | El 0.0301 | Gr    0.309 | Fps   153 |
| T 126957 | Fr  19584000 | Ep 166928 | Up  15300 | RMe    2.61 | RSd    1.37 | RMa    6.00 | RMi    0.00 | Pl    0.602 | Vl    0.127 | El 0.0295 | Gr    0.502 | Fps   154 |
| T 127365 | Fr  19712000 | Ep 167464 | Up  15400 | RMe    2.31 | RSd    1.23 | RMa    5.00 | RMi    0.00 | Pl    0.299 | Vl    0.060 | El 0.0300 | Gr    0.305 | Fps   154 |
| T 127758 | Fr  19840000 | Ep 168000 | Up  15500 | RMe    2.02 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl    0.234 | Vl    0.050 | El 0.0301 | Gr    0.324 | Fps   155 |
| T 128158 | Fr  19968000 | Ep 168528 | Up  15600 | RMe    2.47 | RSd    1.49 | RMa    7.00 | RMi    0.00 | Pl    0.067 | Vl    0.053 | El 0.0298 | Gr    0.200 | Fps   155 |
| T 128577 | Fr  20096000 | Ep 169064 | Up  15700 | RMe    2.93 | RSd    1.51 | RMa    7.00 | RMi    0.00 | Pl   -0.236 | Vl    0.059 | El 0.0297 | Gr    0.488 | Fps   156 |
| T 128981 | Fr  20224000 | Ep 169600 | Up  15800 | RMe    2.80 | RSd    1.41 | RMa    6.00 | RMi    0.00 | Pl    0.365 | Vl    0.058 | El 0.0295 | Gr    0.373 | Fps   156 |
| T 129391 | Fr  20352000 | Ep 170128 | Up  15900 | RMe    2.69 | RSd    1.43 | RMa    6.00 | RMi    0.00 | Pl    0.352 | Vl    0.082 | El 0.0293 | Gr    0.730 | Fps   157 |
| T 129794 | Fr  20480000 | Ep 170664 | Up  16000 | RMe    2.82 | RSd    1.49 | RMa    7.00 | RMi    0.00 | Pl   -0.271 | Vl    0.051 | El 0.0296 | Gr    0.401 | Fps   157 |
| T 130207 | Fr  20608000 | Ep 171200 | Up  16100 | RMe    2.54 | RSd    1.42 | RMa    6.00 | RMi    0.00 | Pl   -0.052 | Vl    0.045 | El 0.0298 | Gr    0.272 | Fps   158 |
| T 130617 | Fr  20736000 | Ep 171728 | Up  16200 | RMe    2.69 | RSd    1.48 | RMa    7.00 | RMi    0.00 | Pl    0.087 | Vl    0.056 | El 0.0297 | Gr    0.280 | Fps   158 |
| T 131011 | Fr  20864000 | Ep 172264 | Up  16300 | RMe    2.99 | RSd    1.51 | RMa    6.00 | RMi    0.00 | Pl    0.279 | Vl    0.065 | El 0.0296 | Gr    0.289 | Fps   159 |
| T 131407 | Fr  20992000 | Ep 172800 | Up  16400 | RMe    2.48 | RSd    1.48 | RMa    6.00 | RMi    0.00 | Pl   -0.175 | Vl    0.034 | El 0.0301 | Gr    0.229 | Fps   159 |
| T 131797 | Fr  21120000 | Ep 173328 | Up  16500 | RMe    2.55 | RSd    1.40 | RMa    7.00 | RMi    0.00 | Pl   -0.306 | Vl    0.038 | El 0.0299 | Gr    0.281 | Fps   160 |
| T 132212 | Fr  21248000 | Ep 173864 | Up  16600 | RMe    2.42 | RSd    1.29 | RMa    6.00 | RMi    0.00 | Pl   -0.730 | Vl    0.045 | El 0.0297 | Gr    0.461 | Fps   160 |
| T 132604 | Fr  21376000 | Ep 174400 | Up  16700 | RMe    2.87 | RSd    1.47 | RMa    7.00 | RMi    1.00 | Pl    0.272 | Vl    0.087 | El 0.0297 | Gr    0.396 | Fps   161 |
| T 133011 | Fr  21504000 | Ep 174928 | Up  16800 | RMe    2.80 | RSd    1.52 | RMa    7.00 | RMi    0.00 | Pl   -0.209 | Vl    0.076 | El 0.0295 | Gr    0.546 | Fps   161 |
| T 133412 | Fr  21632000 | Ep 175464 | Up  16900 | RMe    3.27 | RSd    1.50 | RMa    8.00 | RMi    0.00 | Pl   -0.886 | Vl    0.074 | El 0.0297 | Gr    1.021 | Fps   162 |
| T 133806 | Fr  21760000 | Ep 176000 | Up  17000 | RMe    2.74 | RSd    1.48 | RMa    7.00 | RMi    1.00 | Pl    0.439 | Vl    0.063 | El 0.0298 | Gr    0.489 | Fps   162 |
| T 134198 | Fr  21888000 | Ep 176528 | Up  17100 | RMe    2.75 | RSd    1.43 | RMa    7.00 | RMi    0.00 | Pl   -0.138 | Vl    0.049 | El 0.0295 | Gr    0.346 | Fps   163 |
| T 134616 | Fr  22016000 | Ep 177064 | Up  17200 | RMe    2.74 | RSd    1.38 | RMa    6.00 | RMi    0.00 | Pl   -0.400 | Vl    0.049 | El 0.0297 | Gr    0.629 | Fps   163 |
| T 135021 | Fr  22144000 | Ep 177600 | Up  17300 | RMe    2.80 | RSd    1.34 | RMa    7.00 | RMi    0.00 | Pl   -0.281 | Vl    0.049 | El 0.0298 | Gr    0.248 | Fps   164 |
| T 135426 | Fr  22272000 | Ep 178128 | Up  17400 | RMe    2.51 | RSd    1.28 | RMa    6.00 | RMi    0.00 | Pl    0.598 | Vl    0.075 | El 0.0293 | Gr    0.889 | Fps   164 |
| T 135815 | Fr  22400000 | Ep 178664 | Up  17500 | RMe    3.07 | RSd    1.46 | RMa    6.00 | RMi    0.00 | Pl    0.389 | Vl    0.089 | El 0.0295 | Gr    0.307 | Fps   164 |
| T 136223 | Fr  22528000 | Ep 179200 | Up  17600 | RMe    2.89 | RSd    1.27 | RMa    6.00 | RMi    0.00 | Pl   -0.144 | Vl    0.057 | El 0.0294 | Gr    0.268 | Fps   165 |
| T 136644 | Fr  22656000 | Ep 179728 | Up  17700 | RMe    2.90 | RSd    1.20 | RMa    6.00 | RMi    1.00 | Pl   -0.239 | Vl    0.046 | El 0.0291 | Gr    0.382 | Fps   165 |
| T 137061 | Fr  22784000 | Ep 180264 | Up  17800 | RMe    3.01 | RSd    1.49 | RMa    7.00 | RMi    1.00 | Pl   -0.008 | Vl    0.086 | El 0.0292 | Gr    0.480 | Fps   166 |
| T 137467 | Fr  22912000 | Ep 180800 | Up  17900 | RMe    3.41 | RSd    1.43 | RMa    6.00 | RMi    0.00 | Pl   -0.642 | Vl    0.069 | El 0.0294 | Gr    0.877 | Fps   166 |
| T 137877 | Fr  23040000 | Ep 181328 | Up  18000 | RMe    3.00 | RSd    1.59 | RMa    8.00 | RMi    0.00 | Pl   -0.332 | Vl    0.046 | El 0.0295 | Gr    0.327 | Fps   167 |
| T 138290 | Fr  23168000 | Ep 181864 | Up  18100 | RMe    2.84 | RSd    1.34 | RMa    6.00 | RMi    0.00 | Pl   -0.099 | Vl    0.071 | El 0.0294 | Gr    0.623 | Fps   167 |
| T 138705 | Fr  23296000 | Ep 182400 | Up  18200 | RMe    3.08 | RSd    1.39 | RMa    6.00 | RMi    0.00 | Pl   -0.295 | Vl    0.038 | El 0.0294 | Gr    0.259 | Fps   167 |
| T 139120 | Fr  23424000 | Ep 182928 | Up  18300 | RMe    3.00 | RSd    1.22 | RMa    6.00 | RMi    0.00 | Pl   -0.158 | Vl    0.075 | El 0.0291 | Gr    0.505 | Fps   168 |
| T 139521 | Fr  23552000 | Ep 183464 | Up  18400 | RMe    3.33 | RSd    1.50 | RMa    8.00 | RMi    1.00 | Pl    0.268 | Vl    0.095 | El 0.0293 | Gr    0.485 | Fps   168 |
| T 139922 | Fr  23680000 | Ep 184000 | Up  18500 | RMe    3.02 | RSd    1.39 | RMa    6.00 | RMi    1.00 | Pl    0.377 | Vl    0.086 | El 0.0294 | Gr    0.431 | Fps   169 |
| T 140326 | Fr  23808000 | Ep 184528 | Up  18600 | RMe    3.05 | RSd    1.39 | RMa    6.00 | RMi    1.00 | Pl    1.342 | Vl    0.133 | El 0.0288 | Gr    1.952 | Fps   169 |
| T 140740 | Fr  23936000 | Ep 185064 | Up  18700 | RMe    3.55 | RSd    1.65 | RMa    8.00 | RMi    1.00 | Pl   -0.470 | Vl    0.057 | El 0.0294 | Gr    0.487 | Fps   170 |
| T 141155 | Fr  24064000 | Ep 185600 | Up  18800 | RMe    3.09 | RSd    1.48 | RMa    7.00 | RMi    1.00 | Pl   -0.096 | Vl    0.089 | El 0.0296 | Gr    0.432 | Fps   170 |
| T 141569 | Fr  24192000 | Ep 186128 | Up  18900 | RMe    3.19 | RSd    1.65 | RMa    8.00 | RMi    1.00 | Pl   -0.187 | Vl    0.056 | El 0.0293 | Gr    0.464 | Fps   170 |
| T 141980 | Fr  24320000 | Ep 186664 | Up  19000 | RMe    3.49 | RSd    1.42 | RMa    7.00 | RMi    0.00 | Pl   -0.083 | Vl    0.053 | El 0.0294 | Gr    0.403 | Fps   171 |
| T 142385 | Fr  24448000 | Ep 187200 | Up  19100 | RMe    3.04 | RSd    1.53 | RMa    8.00 | RMi    1.00 | Pl    0.086 | Vl    0.063 | El 0.0296 | Gr    0.252 | Fps   171 |
| T 142787 | Fr  24576000 | Ep 187728 | Up  19200 | RMe    3.20 | RSd    1.39 | RMa    7.00 | RMi    1.00 | Pl   -0.622 | Vl    0.041 | El 0.0294 | Gr    0.881 | Fps   172 |
| T 143187 | Fr  24704000 | Ep 188264 | Up  19300 | RMe    3.04 | RSd    1.30 | RMa    6.00 | RMi    0.00 | Pl   -0.606 | Vl    0.057 | El 0.0294 | Gr    0.850 | Fps   172 |
| T 143588 | Fr  24832000 | Ep 188800 | Up  19400 | RMe    2.73 | RSd    1.41 | RMa    6.00 | RMi    0.00 | Pl    0.289 | Vl    0.060 | El 0.0297 | Gr    0.371 | Fps   172 |
| T 143980 | Fr  24960000 | Ep 189328 | Up  19500 | RMe    3.15 | RSd    1.49 | RMa    7.00 | RMi    0.00 | Pl    0.233 | Vl    0.073 | El 0.0290 | Gr    0.500 | Fps   173 |
| T 144363 | Fr  25088000 | Ep 189864 | Up  19600 | RMe    3.53 | RSd    1.57 | RMa    8.00 | RMi    1.00 | Pl   -0.144 | Vl    0.114 | El 0.0294 | Gr    0.477 | Fps   173 |
| T 144757 | Fr  25216000 | Ep 190400 | Up  19700 | RMe    3.23 | RSd    1.31 | RMa    6.00 | RMi    1.00 | Pl    0.341 | Vl    0.097 | El 0.0295 | Gr    0.580 | Fps   174 |
| T 145163 | Fr  25344000 | Ep 190928 | Up  19800 | RMe    3.12 | RSd    1.19 | RMa    6.00 | RMi    1.00 | Pl    0.070 | Vl    0.071 | El 0.0294 | Gr    0.287 | Fps   174 |
| T 145579 | Fr  25472000 | Ep 191464 | Up  19900 | RMe    3.06 | RSd    1.54 | RMa    8.00 | RMi    1.00 | Pl   -0.353 | Vl    0.060 | El 0.0295 | Gr    0.532 | Fps   174 |
| T 146006 | Fr  25600000 | Ep 192000 | Up  20000 | RMe    3.55 | RSd    1.36 | RMa    6.00 | RMi    1.00 | Pl    0.058 | Vl    0.078 | El 0.0297 | Gr    0.222 | Fps   175 |
| T 146426 | Fr  25728000 | Ep 192528 | Up  20100 | RMe    3.00 | RSd    1.36 | RMa    6.00 | RMi    0.00 | Pl    0.369 | Vl    0.065 | El 0.0294 | Gr    0.550 | Fps   175 |
| T 146849 | Fr  25856000 | Ep 193064 | Up  20200 | RMe    3.13 | RSd    1.39 | RMa    7.00 | RMi    1.00 | Pl    0.123 | Vl    0.071 | El 0.0295 | Gr    0.414 | Fps   176 |
| T 147264 | Fr  25984000 | Ep 193600 | Up  20300 | RMe    3.26 | RSd    1.40 | RMa    7.00 | RMi    1.00 | Pl    0.557 | Vl    0.059 | El 0.0297 | Gr    0.419 | Fps   176 |
| T 147666 | Fr  26112000 | Ep 194128 | Up  20400 | RMe    3.09 | RSd    1.21 | RMa    6.00 | RMi    1.00 | Pl    0.378 | Vl    0.111 | El 0.0290 | Gr    0.659 | Fps   176 |
| T 148063 | Fr  26240000 | Ep 194664 | Up  20500 | RMe    3.04 | RSd    1.44 | RMa    6.00 | RMi    0.00 | Pl    0.146 | Vl    0.053 | El 0.0294 | Gr    0.250 | Fps   177 |
| T 148455 | Fr  26368000 | Ep 195200 | Up  20600 | RMe    3.45 | RSd    1.38 | RMa    7.00 | RMi    0.00 | Pl   -0.217 | Vl    0.071 | El 0.0292 | Gr    0.622 | Fps   177 |
| T 148842 | Fr  26496000 | Ep 195728 | Up  20700 | RMe    3.80 | RSd    1.50 | RMa    7.00 | RMi    0.00 | Pl    0.175 | Vl    0.091 | El 0.0290 | Gr    0.401 | Fps   178 |
| T 149254 | Fr  26624000 | Ep 196264 | Up  20800 | RMe    3.67 | RSd    1.66 | RMa    8.00 | RMi    1.00 | Pl   -0.698 | Vl    0.052 | El 0.0294 | Gr    0.662 | Fps   178 |
| T 149632 | Fr  26752000 | Ep 196800 | Up  20900 | RMe    3.53 | RSd    1.62 | RMa    8.00 | RMi    0.00 | Pl    0.207 | Vl    0.092 | El 0.0294 | Gr    0.317 | Fps   178 |
| T 150034 | Fr  26880000 | Ep 197328 | Up  21000 | RMe    3.68 | RSd    1.22 | RMa    8.00 | RMi    1.00 | Pl    0.173 | Vl    0.057 | El 0.0289 | Gr    0.306 | Fps   179 |
| T 150432 | Fr  27008000 | Ep 197864 | Up  21100 | RMe    3.23 | RSd    1.24 | RMa    6.00 | RMi    0.00 | Pl   -0.180 | Vl    0.059 | El 0.0293 | Gr    0.450 | Fps   179 |
| T 150845 | Fr  27136000 | Ep 198400 | Up  21200 | RMe    3.34 | RSd    1.19 | RMa    7.00 | RMi    1.00 | Pl   -0.349 | Vl    0.053 | El 0.0294 | Gr    0.373 | Fps   179 |
| T 151246 | Fr  27264000 | Ep 198928 | Up  21300 | RMe    3.43 | RSd    1.28 | RMa    7.00 | RMi    1.00 | Pl    0.511 | Vl    0.056 | El 0.0289 | Gr    0.558 | Fps   180 |
